productID,id,title,body,created_at,rate,likes,dislikes,recommendation_status,is_buyer,user_name,is_anonymous
3493882,41462497,,خوبه نسبت به قیمتش من دو ساله استفاده میکنم و راضی هستم ,13 آبان 1401,5,2,0,recommended,True,کاربر دیجی‌کالا,True
3493882,41460869,عالی بود,خوب بود منکه راضیم با روزی ۹ ساعت استفاده هم داغ نکرد,13 آبان 1401,5,1,0,recommended,True,اباذر قاسمی,False
3493882,41356666,ایراد فنی داشت مرجوع کردم,ایراد فنی داشت مرجوع کردم,12 آبان 1401,1,1,1,not_recommended,True,مهدی  نعمت الهی,False
3493882,41294300,بسیار کاربردی,از خریدم راضی هستم,9 آبان 1401,5,0,0,,True,کاربر دیجی‌کالا,True
3493882,41147826,اندرویدباکس,سرعتش یکم کنده,6 آبان 1401,3,0,0,,True,کاربر دیجی‌کالا,True
3493882,40976294,,عالی,2 آبان 1401,5,0,0,,True,مجتبی محمدلو,False
3493882,40936348,مناسب با توجه به قیمت,همه چیز در خصوص این اندوریدباکس، قابل قبوله، موس و کیبورد بلوتوث رو به راحتی ساپورت میکنه بقیه موارد تنظیمات منو، کاملا شببه گوشی های اندرویدی هست و از زبان و کیبورد فارسی پشتیبانی میکنه، یه مقدار کم هم هنگی در موقع کار با دستگاه مواجه میشین، تمامی برنامه های اندرودی رو میتونید از بازار نصب کنید، بهتره که از برنامه های اندروید تی وی استفاده کنید تا در استفاده از موس و کیبورد دچار مشکل نشید، کمی در موقع استفاده از موس بیسیم کند هست. ولی بسیار دستگاه کامل و بی دردسری هست به نسبت قیمتش,5 آبان 1401,4,0,1,recommended,True,هادی فاضلی,False
3493882,40930227,,در کل خوب,1 آبان 1401,4,0,1,,True,احمد صمدبین,False
3493882,40919498,نسبت به قیمت دستگاه خوبیه.. اگه قصد خرید داشتین حتما یه ماوس بی سیم هم براش بگیرین.,با هزینه کم تلویزیون خود را هوشمند کنید.,1 آبان 1401,4,1,1,recommended,True,فرزاد متولی,False
3493882,40902720,پیشنهاد نمیکنم,من در کل اصلا پیشنهاد نمیکنه خیلی کارتی ضعیفی داره,1 آبان 1401,1,1,1,,True,سجاد باقری,False
3493882,40876342,عالی بود بسته ها,عالی  بود خریداری شه حتما,8 آبان 1401,5,2,1,recommended,True,محمد طاها نوروزی,False
3493882,40829380,خوب,"فعلأ که کار می‌کنه
کنترلش هم کار میکنه",29 مهر 1401,4,1,1,recommended,True,محمدرضا  کریمی,False
3493882,40495600,قیمت مناسب,با سلام. با این قیمت ارزش خریدن دارد,22 مهر 1401,4,1,1,,False,کاربر دیجی‌کالا,True
3493882,40447462,بسیار کاربردی,به نظر من تو این رنج قیمت دستگاه خوب و مناسبیه،من واسه تلویزیون اسمارت ال جی استفاده کردم و با این که تلویزیون هوشمند بود اما با این دستگاه خیلی راحت تر شدم و واسه خیلی استفاده ها مخصوصا فیلم و کتاب الکترونیک عالی هست,20 مهر 1401,4,0,1,recommended,True,سعید جوکار,False
3493882,40312788,خیلی خوب بود .من که خیلی راضیه هستم .,بسیار کالایی خوب هستم ,17 مهر 1401,5,0,1,,True,کاربر دیجی‌کالا,True
3493882,40217233,اندروید باکس,کنترل خوبی نداره،هم کوچیکه هم مشخصه الکیه..کنترلش کانال تلویزیون رو عوض میکنه و اصلا نمیشه باهاش کار کرد.. تلویزیون من جی پلاس هستش,15 مهر 1401,2,1,0,no_idea,True,امیر علی‌نژاد,False
3493882,40147099,,در کل خیلی خوبه راضیم ازش، اون چیزی که میخوام هست. ,13 مهر 1401,4,0,1,,True,کاربر دیجی‌کالا,True
3493882,40129735,مقرون به صرفه و راضیم,با تشکر از دیجی کالا,17 مهر 1401,4,0,1,recommended,True,عبدالمبین توماجی پور,False
3493882,40052403,,از ماوس ش خوشم نیومد .مرجوع کردم,11 مهر 1401,3,0,0,no_idea,True,مصطفی دهقان ,False
3493882,39945397,,عالی عالی عالی,8 مهر 1401,5,0,1,recommended,True,کاربر دیجی‌کالا,True
3493882,39899703,به صرفه برای دیدن فیلم آنلاین و آفلاین,در صورتی که از اندروید باکس میخواید جهت تماشای فیلم 4K یا کیفیت 1080 چه آفلاین چه آنلاین استفاده کنید این اندروید باکس بصرفه ترین اندروید باکسی هستش که میتونید تهیه کنید اندروید باکس های گرون تر از این هم هستن که متاسفانه در تماشای ویدیو های 4k و 1080 لگ و هنگی دارن ولی این نداره کنترلش خوبه ولی قابلیت های خیلی کمی داره و سرعت موسش پایینه حتما باید براش یه کیبورد مینی یا کنترل ایر موس تهیه کنید کارت حافظه و usb رو با سرعت بالا میخونه در زمینه بازی هم بازی های ساده در حد سونیک و ماریو و.. رو خوب اجرا میکنه ولی هماهنگ سازی کنترلش جهت بازی خوب نیست و در کل واسه بازی خوب نیست و بیشتر واسه فیلم دیدنه سه تا نرم‌افزار پخش ویدیو پیشفرض روش نصبه داره که بهتره نرم افزار اصلی پخش ویدیو movieplayer استفاده کنید چون قابلیت های بیشتری داره با تشکر از فروشنده عزیز جعبه وکیوم و پلمپ دستم رسید و گارانتی اصلی داشت,7 مهر 1401,5,1,2,recommended,True,مهدی کاظمی,False
3493882,39836897,اندرویدباکس,عالیه بااین قیمت دستگاهه خیلی خوبی خریداری کردم و اینکه به سرعت  راه افتاد اصلا مشکلی نداره خیلی راضیم پیشنهاد میکنم,6 مهر 1401,0,0,1,recommended,True,کاربر دیجی‌کالا,True
3493882,39496732,اندروید باکس ,"نسبت به قیمتش ارزش خريد داره
ولی اگه واقعا به اون صورت ازش استفاده نمی کنید و برای وصل شدن به تلویزیون میخواین پیشنهاد میکنم دانگل بگيريد",29 شهریور 1401,3,0,1,no_idea,True,ایلیا قاری,False
3493882,39352910,,در کل خوبه,26 شهریور 1401,3,1,1,,True,فرشید نطاق,False
3493882,39292208,انروید باکس ,سلام خیلی خیلی خوب بود پیشنهاد میکنم ,25 شهریور 1401,5,0,0,recommended,True,کاربر دیجی‌کالا,True
3493882,39255511,اندرویدباکس,کالا دست دوم بود,24 شهریور 1401,1,1,0,not_recommended,True,شهریار شفیعی پیرالقر,False
3493882,39235651,,با توجه به قیمت در مقایسه با دستگاههای مشابه نسبتا مناسبه ولی بعضیا در صورت قطع اتصال برق در اتصال مجدد به اینترنت متاسفانه دستگاه را باید ریست و دوباره راه اندازی کرد ,25 شهریور 1401,3,0,0,recommended,True,کاربر دیجی‌کالا,True
3493882,38654908,دستگاه خوبیه,دستگاه خوبیه..فقط ورژن اندرویدش پایینه دیگه ولی کار ما که تماشای فیلیمو و نماواستو راه میندازه..,10 شهریور 1401,4,0,0,recommended,True,سهیل واحدی,False
3493882,38650167,بدک نیست,"از نظر فنی در حد فیمتش خیلی مناسبه و سرعتش هم خوبه.
اما من انتظار داشتم حداقل سیستم عاملش اندروید TV باشه، چونکه اینجوری سخته کار کردن باهاش، اپلیکیشن های اندروید TV مناسب کار با کنترل هستن و از اپلیکیشن های اندروید معمولی بهترن، اینجوری شما همش به ماوس و کیبورد نیاز داریم و رابط کاربری خیلی از اپلیکیشن ها هم بهم میریزه چون مناسب صفحه لمسی هست.
برای اپلیکیشن های فیلیمو و نماوا و… میشه نسخه TV رو نصب کرد اما اگر بخواین Netflix و HBO Max و … نصب کنین مکافات دارین تا نسخه TV اونا رو بجای نسخه معمولی اجرا کنین.",9 شهریور 1401,4,0,0,recommended,True,آرش ابراهیمی,False
3493882,38622165,,عالی نسبت به قیمت,9 شهریور 1401,3,0,0,,False,کاربر دیجی‌کالا,True
3493882,38550174,عالی,عالی,9 شهریور 1401,5,1,0,recommended,True,امید چرمی,False
3493882,38538671,,۸۰٪,7 شهریور 1401,4,0,0,,True,صلاح مکاصیصی,False
3493882,38533591,عالیه,واقعا با این قیمت عالیه. خروجی صدای لیزری هم داره . این امکانات با این قیمت واقعا عالیه. نسخه تلوبیون رو باید نسخه اندروید باکسش رو از بازار دانلود کنید که بدون مشکل کار کنه,12 شهریور 1401,5,0,0,recommended,True,محمد زارع,False
3493882,38445029,,هارد خوب فقط ضربه نخوره,4 شهریور 1401,5,0,0,recommended,True,مریم عابدی کلهرودی,False
3493882,38092130,عالی,"البته من این محصول تازه رسیده به دستم ولی از سرعتش و کفیت بدنه کنترلش که می گفتن خوب نیست راضی هستم
من خیلی تحقیق کردم و با نردید خریدم",26 مرداد 1401,5,2,0,recommended,True,محمد راسخ,False
3493882,37839430,,عالیه حتما همین و بخرید     ,20 مرداد 1401,5,0,0,recommended,True,آسیه مهرابی فیروزآباد,False
3493882,37466835,,در کل واسه فیلم دیدن خوبه سه روزه استفاده میکنم مشکلی نداره فقط جهت برنامه و اپهای اندروید تی وی استفاده نصب کنید تا کاربری راحت تری داشته باشه.,12 مرداد 1401,4,0,0,recommended,True,ایمان عاشوری,False
3493882,37407366,داغ کردن سریع  و کار نکردن اپهای ایرانیدمانند تلوبیون,"هنگ کردن مدام
داغ کردن زیاد
جنس نامرغوب جعبه اندروید باکس",7 مرداد 1401,1,0,0,not_recommended,True,داود موحدخواه,False
3493882,37374658,خرید از دیجی کالا,دستم را داغ کردم که دیگه از دیجی خرید نکنم  حرف وعمل یکی نیست,6 مرداد 1401,1,6,0,,False,کاربر دیجی‌کالا,True
3493882,37358508,اندروید باکس,بدون دیش ماهواره داریم یوتیوب کلی فیلم داره,17 مرداد 1401,5,0,0,recommended,True,مهدی عبدالغفار گلپایگانی,False
3493882,37311593,کاربردی و بصرفه,باسلام ضمن تشکر از مدیریت دیجیکالا ، دستگاه خوب و به نسبت با کیفیتی هست,9 مرداد 1401,5,1,0,recommended,True,اسداله کاظمی فروشانی,False
3493882,37291698,,"لگ دارد 
قیمت مناسب است ",10 مرداد 1401,2,1,0,no_idea,True,محمدرضا حسن خانی,False
